,product,number,transactions,wish,review
0,Nike Dunk Low Retro Black,28029,8.9만,5.1만,"7,680"
1,(W) Nike Dunk Low Black,28030,4.5만,3.7만,"2,882"
2,(W) Nike Dunk Low Light Bone,41637,"9,898",2.1만,306
3,Nike Dunk Low Retro Grey Fog,41193,"3,239",1.5만,77
4,(W) Nike Dunk Low Essential Black Paisley,43374,62,955,9
5,(GS) Nike Dunk Low Black,28229,1.3만,1.7만,"1,047"
6,(W) Nike Dunk Low Venice,40108,100,916,10
7,Nike Dunk Low Retro PRM Halloween,47877,"1,574","5,518",151
8,(W) Nike Dunk Low Essential Blue Paisley,38844,31,741,8
9,Nike x Off-White Dunk Low The 50 - Lot 18,39170,"8,055","8,748","1,028"
10,(W) Nike Dunk Low Archeo Pink,47876,"3,694","9,559",240
11,Nike Dunk Low SE Seoul,39142,1.5만,1.1만,844
12,(GS) Nike Dunk Low Pink Foam,41949,906,"5,021",64
13,Nike x Off-White Dunk Low The 50 - Lot 46,32655,"6,783","8,061","1,071"
14,(W) Nike Dunk Low Next Nature Sail,39700,"3,935",1만,109
15,(W) Nike Dunk Low Next Nature Pale Coral,39446,"4,027","8,749",136
16,(W) Nike Dunk Low Coast,37367,1.1만,1.6만,"1,715"
17,Nike Dunk Low Retro Varsity Green,36465,1만,2.4만,"1,115"
18,Nike Dunk Low Retro Championship Goldenrod,37502,"5,783","7,921",367
19,Nike Dunk Low Pro Premium Medium Curry,47184,"4,885","8,193",682
20,Nike Dunk Low Retro Championship Grey,42389,"4,713",1.1만,324
21,Nike SB Dunk Low Pro Chicago,39445,"3,588","8,371",936
22,(GS) Nike x NBA Dunk Low Chicago,25283,"2,988","4,262",139
23,Nike x NBA Dunk Low Retro EMB Nets,28065,"2,270","6,209",127
24,Nike x Parra SB Dunk Low Pro Abstract Art,28721,"1,947","2,529",153
25,Nike x NBA Dunk Low Retro EMB Chicago,47875,"1,002","3,915",136
26,Nike Dunk Low Retro Varsity Maize,42196,"6,591",1.2만,763
27,(W) Nike Dunk Low Bordeaux,42553,675,"4,268",50
28,(W) Nike Dunk Low Triple White,42390,"4,158","8,890",85
29,Nike x Kasina Dunk Low 80's Bus,47185,"6,693",1.1만,"2,101"
30,Nike x Kasina Dunk Low Road Sign - Kasina Exclusive,47119,"2,502","4,318",608
31,Nike Dunk Low Retro University Blue,37596,"7,465",1.6만,717
32,Nike x Sean Cliver SB Dunk Low Holiday Special,32915,"1,391","2,958",386
33,Nike Dunk Low Retro PRM Cider,32566,419,818,24
34,Nike SB Dunk Low Pro Premium Mummy,28230,632,"1,634",64
35,(W) Nike Dunk Low Midnight Navy,47901,213,"5,034",21
36,Nike x Off-White Dunk Low The 50 - Lot 49,33742,318,"1,850",36
37,(W) Nike Dunk Low Green Glow,32656,"2,527","4,207",291
38,Nike Dunk Low Premium Siempre Familia,37916,179,337,14
39,Nike Dunk Low SE Seoul (with Special Gift),38818,"1,382","2,457",191
40,(W) Nike Dunk Low Golden Gals Metallic Silver,25586,48,595,7
41,(W) Nike Dunk Low Next Nature Cream White,33799,302,"2,207",12
42,(PS) Nike Dunk Low Black,23498,"4,785","3,330",399
43,Nike SB Dunk Low Pro Classic Green,43887,"1,780","6,715",219
44,Nike x Supreme SB Dunk Low Black,28031,615,"1,728",148
45,Nike x Off-White Dunk Low The 50 - Lot 1,38185,327,"1,544",75
46,(GS) Nike Dunk Low PRM Halloween,43604,280,"1,270",27
47,(GS) Nike Dunk Low Bright Crimson Game Royal,35432,521,"1,432",24
48,(W) Nike Dunk Low Orange Pearl,25476,"4,798","8,843",439
49,Nike Dunk Low Retro Midas Gold,28071,381,938,18
50,(W) Nike Dunk Low Pearl White,40397,"3,506","3,602",90
51,(PS) Nike Dunk Low Pink Foam,30610,374,543,12
52,Nike Dunk Low SE Free.99 White,39125,"2,320","1,878",265
53,Nike Dunk Low Retro Championship Red,39173,"4,210","5,772",288
54,(GS) Nike x NBA Dunk Low Nets,43774,731,"3,320",37
55,Nike SB Dunk Low Pro Clear Jade,42968,"2,534","2,744",599
56,Nike SB Dunk Low What The Paul,47187,831,888,92
57,Nike x Off-White Dunk Low Pine Green,37275,905,"3,813",938
58,Nike x Supreme SB Dunk Low Hyper Blue,25585,291,855,91
59,(GS) Nike Dunk Low University Blue,26228,"1,933","5,502",163
60,Nike x Off-White Dunk Low The 50 - Lot 19,30613,138,766,15
61,Nike x Quartersnacks SB Dunk Low Zebra Cake,23953,145,762,26
62,(W) Nike Dunk Low Light Soft Pink,39144,"1,162","3,619",92
63,(W) Nike Dunk Low SE Candy,30296,"1,417","1,459",153
64,Nike Dunk Low Retro Hyper Cobalt,44568,"4,605","4,247",409
65,Nike x NBA Dunk Low Retro EMB Knicks,26326,17,123,4
66,(PS) Nike Dunk Low PRM Halloween,24703,219,477,13
67,(W) Nike Dunk Low Next Nature Gym Red,43765,8,154,0
68,(PS) Nike Dunk Low Gypsy Rose,42752,32,101,1
69,Nike Dunk Low Retro Medium Grey,32495,"7,257","6,657","1,072"
70,(GS) Nike Dunk Low Light Bone Tropical Twist,36866,92,763,7
71,Nike SB Dunk Low Pro Laser Blue,47867,56,650,6
72,Nike Dunk Low SP Community Garden,40401,"3,511","1,953",250
73,Nike x Travis Scott SB Dunk Low,33750,"1,829","4,849","1,538"
74,Nike SB Dunk Low Pro Court Purple,25427,"2,174","5,664",331
75,Nike x Off-White Dunk Low University Red,34689,853,"1,981",503
76,(W) Nike Dunk Low Photon Dust,23213,"3,149",1.3만,321
77,Nike Dunk Low Retro PRM Cheetah,26711,762,"1,546",83
78,Nike x Supreme SB Dunk Low Barkroot Brown,39174,158,540,54
79,Nike Dunk Low SP University Red,33865,"1,276","5,913",321
80,Nike x FTC SB Dunk Low Pro QS Lagoon Pulse,33800,97,545,28
81,(GS) Nike Dunk Low Varsity Maize,23945,"1,708","3,573",169
82,Nike Dunk Low SP Brazil 2020,23273,913,"2,417",191
83,Nike SB Dunk Low Pro Camcorder,21451,103,673,37
84,Nike Dunk Low SP Kentucky 2020,27472,608,"4,313",261
85,(W) Nike Dunk Low Disrupt Black White,32408,"2,796","5,385",405
86,(W) Nike Dunk Low Disrupt Pale Ivory,33863,425,"2,509",32
87,Nike SB Dunk Low Raygun Tie-Dye Black,42331,69,403,34
